,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,labels
0,1.44169E+18,1.44169E+18,2021-09-25 09:00:18+00:00,25/9/2021,9:00:18,0,1.01107E+18,paigeoffficial,Paige 🇵🇸🏴,,People at my age has bought a car ya allah no wonder la rsa anxious at this age. Tgok life org dh smakin stable at 24-25…,en,[],[],[],0,0,0,[],[],https://twitter.com/PaigeOffficial/status/1441689006064824323,FALSE,,0,,,"1.290270,103.851959,500km",,,,,[],,,,,anxious
1,1.44168E+18,1.44168E+18,2021-09-25 08:44:02+00:00,25/9/2021,8:44:02,0,308968000,stsportsdesk,ST Sports Desk,,Sports fans in S'pore face anxious wait as cessation of Fox Sports channels looms  https://t.co/q4DNfFYf8R,en,[],['http://www.straitstimes.com/sport/sports-fans-in-spore-face-anxious-wait-as-cessation-of-fox-sports-channels-looms?utm_source=twitter&utm_medium=social-organic&utm_keyword=dlvr.it'],[],0,3,4,[],[],https://twitter.com/STsportsdesk/status/1441684910926753795,FALSE,,0,,,"1.290270,103.851959,500km",,,,,[],,,,,anxious
2,1.44168E+18,1.44168E+18,2021-09-25 08:37:05+00:00,25/9/2021,8:37:05,0,497627705,drazah___,🆔 Azah,,People who are afraid of needles are real… there are patients came to us for tooth extractions and very anxious because of injections,en,[],[],[],0,0,0,[],[],https://twitter.com/drazah___/status/1441683163130986504,FALSE,,0,,,"1.290270,103.851959,500km",,,,,[],,,,,anxious
3,1.44168E+18,1.44168E+18,2021-09-25 08:29:51+00:00,25/9/2021,8:29:51,0,139435311,zikrymohamad,Zikry Solis™,,"ALHAMDULILLAH. okay lets celebrate. I have been anxious, depressed, down for two weeks already. Alhamdulillah ala kulli hal.",en,[],[],[],1,0,1,[],[],https://twitter.com/ZikryMohamad/status/1441681340827459585,FALSE,,0,,,"1.290270,103.851959,500km",,,,,[],,,,,anxious
4,1.44167E+18,1.44162E+18,2021-09-25 07:53:56+00:00,25/9/2021,7:53:56,0,1.27035E+18,venusmeud,fara⁷ 🐨🌱,,@fsic_ Hahah being anxious gemini is understandable. Mute the thoughts a d you’d be fine. Sedap kan?,en,[],[],[],1,0,1,[],[],https://twitter.com/venusmeud/status/1441672304010747911,FALSE,,0,,,"1.290270,103.851959,500km",,,,,"[{'screen_name': 'fsic_', 'name': 'd⁷ 🌱', 'id': '2264718474'}]",,,,,anxious
5,1.44167E+18,1.44167E+18,2021-09-25 07:42:21+00:00,25/9/2021,7:42:21,0,193939240,hfznisml,hafizin,,"Nak rehat kejap buat drawing ni, tp rasa anxious duk fikir tak sempat siap. Padahal deadline pun takde.",in,[],[],[],1,0,0,[],[],https://twitter.com/hfznisml/status/1441669385655971843,FALSE,,0,,,"1.290270,103.851959,500km",,,,,[],,,,,anxious
6,1.44167E+18,1.44167E+18,2021-09-25 07:40:00+00:00,25/9/2021,7:40:00,0,19763223,notamalclooney,Amal Z ✌🏼,,"Always in the cycle 🔁 of being anxious I’m not great at what I do (so needing to pile up on savings for rainy days 💰), and rewarding myself for all the hard work I’ve done 👩🏻‍💻👩🏻‍🔧",en,[],[],[],0,0,0,[],[],https://twitter.com/notamalclooney/status/1441668796977082373,FALSE,,0,,,"1.290270,103.851959,500km",,,,,[],,,,,anxious
7,1.44165E+18,1.44165E+18,2021-09-25 06:41:18+00:00,25/9/2021,6:41:18,0,1.25143E+18,syafkeni,syaf,,Cepat la start buat kerja 😞 tak suka lambat2 ni. Nnti aku anxious. Dahlah research pun kena siapkan.,in,[],[],[],0,0,0,[],[],https://twitter.com/syafkeni/status/1441654025393348608,FALSE,,0,,,"1.290270,103.851959,500km",,,,,[],,,,,anxious
8,1.44165E+18,1.44162E+18,2021-09-25 06:23:22+00:00,25/9/2021,6:23:22,0,2537096269,nurulhudashakle,Perfect Bakers,,@NenekGojes Tula nampak cerita mcm anxious &amp; byk action je. Drama mcm ni kena dah byk episod baru sedap layan.,in,[],[],[],1,0,0,[],[],https://twitter.com/nurulhudashakle/status/1441649509524594688,FALSE,,0,,,"1.290270,103.851959,500km",,,,,"[{'screen_name': 'NenekGojes', 'name': 'nenek', 'id': '2343287149'}]",,,,,anxious
9,1.44163E+18,1.44163E+18,2021-09-25 05:15:25+00:00,25/9/2021,5:15:25,0,7.09255E+17,hanisfia,Hanis 💫,,I’ve been so anxious lately it’s getting kinda hard to calm down,en,[],[],[],1,0,2,[],[],https://twitter.com/HanisFia/status/1441632409322098689,FALSE,,0,,,"1.290270,103.851959,500km",,,,,[],,,,,anxious
